id,skills,exp,grades,projects,extra,offer,hire,pay
514,C++;SQL,2,76.09,3,4,0,No,none
515,SQL,1,62.66,1,1,1,No,none
516,Data Analysis;SQL,0,80.64,1,2,1,No,none
517,Machine Learning;Python;Data Analysis,4,73.84,4,0,0,No,none
518,Java,4,86.89,3,2,1,No,none
519,Python;Data Analysis;SQL,3,98.04,7,2,0,No,none
520,Data Analysis;C++,1,79.42,3,3,1,No,none
521,Machine Learning;C++,0,78.65,7,3,0,No,none
522,SQL;Java,3,86.18,4,4,1,No,none
523,Python;SQL;C++,2,64.14,0,1,0,No,none
524,SQL,3,70.14,8,1,1,No,none
525,Data Analysis;Machine Learning;C++,3,96.76,7,2,1,No,none
526,Data Analysis;SQL;Python,1,86.8,0,0,1,No,none
527,C++,2,60.54,2,3,1,No,none
528,Python;Data Analysis;Java,3,68.19,2,0,0,No,none
529,Java;Data Analysis,0,87.31,4,3,1,No,none
530,SQL;Data Analysis,0,90.58,6,2,0,No,none
531,Python,4,93.59,0,1,1,No,none
532,Data Analysis;C++,2,71.69,0,2,1,No,none
533,Java,2,97.24,9,3,1,No,none
534,Machine Learning;Java,4,82.12,5,1,1,No,none
535,Machine Learning;SQL;Python,3,87.86,4,0,0,Yes,125
536,Data Analysis;Python,2,83.87,2,0,0,No,none
537,Python;C++,0,64.91,2,4,1,No,none
538,SQL,0,98.52,3,0,1,No,none
539,C++;Machine Learning;Data Analysis,1,64.92,9,4,0,No,none
540,Data Analysis;C++;SQL,2,70.2,1,1,1,No,none
541,C++,3,92.55,8,2,1,No,none
542,SQL,4,84.74,3,2,1,No,none
543,Machine Learning,4,93.53,9,1,0,No,none
544,Data Analysis;SQL,3,80.63,2,1,0,No,none
545,C++,5,75.08,9,3,0,No,none
546,Java,1,96.87,6,0,1,No,none
547,Machine Learning;C++,4,61.45,8,0,0,No,none
548,Python;C++;SQL,2,94.25,1,0,1,No,none
549,SQL;Java;Data Analysis,1,69.23,5,4,0,No,none
550,Python,2,93.95,4,0,0,No,none
551,Data Analysis;Python;Java,0,65.57,0,3,1,No,none
552,SQL;Java,1,83.21,6,2,1,No,none
553,Python,4,95.52,0,2,0,No,none
554,SQL,1,78.94,9,4,0,No,none
555,Java,1,89.86,8,3,0,No,none
556,Java;Python;Data Analysis,1,92.19,3,1,0,No,none
557,C++;Data Analysis;Machine Learning,5,89.46,7,2,1,No,none
558,Machine Learning;Data Analysis;SQL,1,97.01,0,3,1,No,none
559,SQL;Java;C++,2,77.87,4,1,0,No,none
560,C++,0,66.93,2,4,0,No,none
561,Data Analysis;SQL,3,61.91,3,0,1,No,none
562,Machine Learning;Python,1,69.86,3,3,0,No,none
563,Machine Learning;Python,4,65.73,7,2,0,No,none
564,C++;Data Analysis,1,82.32,9,4,1,No,none
565,Python,4,67.4,9,3,0,No,none
566,SQL;Python,2,61.56,2,4,0,No,none
567,Python;Machine Learning;C++,4,61.44,0,1,1,No,none
568,Machine Learning;Data Analysis,3,93.26,4,3,1,No,none
569,Python;C++;Java,0,83.66,1,0,1,No,none
570,Machine Learning;C++,4,74.32,5,1,1,No,none
571,Java;Python;C++,4,95.77,3,0,1,No,none
572,SQL,0,62.81,8,4,1,No,none
573,Python;Machine Learning;Java,3,99.21,6,0,1,Yes,150
574,Java,1,84.65,1,1,0,No,none
575,C++;Data Analysis;Java,4,67.34,6,1,1,No,none
576,SQL;Data Analysis,0,87.16,9,1,1,No,none
577,C++;SQL,2,90.54,7,4,1,No,none
578,Machine Learning;Python;SQL,0,77.17,2,2,1,Interview,none
579,SQL,2,94.47,2,4,1,No,none
580,Machine Learning,3,66.03,1,1,1,No,none
581,C++;SQL;Machine Learning,1,71.15,0,4,0,No,none
582,Data Analysis;Machine Learning;Java,0,63.74,2,3,1,No,none
583,Python;Machine Learning,5,68.44,9,3,0,No,none
584,Java;SQL;Machine Learning,4,69.55,6,2,1,No,none
585,Data Analysis;C++;Java,3,96.71,8,4,0,No,none
586,Data Analysis;Python;SQL,0,63.12,8,4,0,No,none
587,C++;SQL;Java,4,77.1,5,3,0,No,none
588,Data Analysis;Machine Learning;Python,0,81.3,5,1,1,Yes,125
589,Data Analysis;C++;SQL,2,95.95,4,0,0,No,none
590,SQL,0,99.91,1,1,0,No,none
591,Java;Data Analysis,5,90.14,6,2,1,No,none
592,C++;Java,0,98.83,0,0,1,No,none
593,Java,0,91.48,5,1,1,No,none
594,Python,5,98.53,3,4,0,No,none
595,Python;Machine Learning,3,88.29,2,4,1,Yes,125
596,Data Analysis;Machine Learning;Python,0,63.19,0,3,0,No,none
597,SQL;Machine Learning;Java,5,76.08,5,4,0,No,none
598,C++;Java;Machine Learning,4,85.86,6,4,1,No,none
599,Data Analysis,2,74.03,0,2,1,No,none
600,Java;C++;Python,2,70.94,0,0,0,No,none
601,SQL;Java,0,83.1,6,1,0,No,none
602,Machine Learning;SQL,3,97.34,5,1,1,No,none
603,C++;Java;Machine Learning,3,61.4,6,2,0,No,none
604,C++;Java,4,90.77,7,0,1,No,none
605,Data Analysis;Machine Learning,0,88.91,7,4,1,No,none
606,C++;SQL,2,98.56,8,2,0,No,none
607,Machine Learning;Data Analysis,3,97.23,8,4,1,No,none
608,Java;Data Analysis,0,90.49,6,1,0,No,none
609,Java;SQL;Python,3,80.82,8,2,0,No,none
610,C++;SQL;Python,5,68.17,5,2,1,No,none
611,Machine Learning;Python;SQL,3,81.81,8,2,0,Yes,125
612,Java,2,90.61,1,1,1,No,none
613,C++;Machine Learning,1,95.83,1,1,1,No,none
614,C++,4,91.59,5,3,1,No,none
615,Java,4,67.81,2,1,1,No,none
616,SQL;Python,2,83.99,1,1,1,No,none
617,Python;C++,3,73.29,7,4,1,No,none
618,SQL;Java;C++,0,60.37,6,1,1,No,none
619,SQL,3,68.01,7,0,1,No,none
620,Python,2,64.53,5,4,1,No,none
621,Python;SQL,4,93.71,8,3,0,No,none
622,Java,3,70.34,8,0,1,No,none
623,SQL,4,71.39,1,3,1,No,none
624,Data Analysis;Java,0,98.4,9,2,0,No,none
625,C++;Data Analysis;Python,4,75.16,4,2,0,No,none
626,Python,4,60.38,8,2,0,No,none
627,Java;Data Analysis,1,71.35,2,1,1,No,none
628,Data Analysis;Machine Learning;C++,1,64.77,4,1,1,No,none
629,SQL,5,64.11,7,4,0,No,none
630,SQL,1,63.1,1,0,1,No,none
631,Python,4,83.73,5,0,0,No,none
632,C++,2,67.57,3,2,0,No,none
633,Machine Learning;C++;Python,4,74.45,5,2,1,No,none
634,C++,2,94.48,2,1,0,No,none
635,Machine Learning;Python;Java,2,76.97,5,3,1,Interview,none
636,Java;SQL;C++,1,96.63,6,0,1,No,none
637,Machine Learning,3,79.92,9,0,1,No,none
638,Java;Machine Learning,0,75.95,2,3,0,No,none
639,Java;Python,1,90.02,4,0,1,No,none
640,SQL;Python;Machine Learning,1,62.93,7,0,1,No,none
641,C++;Python,3,63.58,1,1,1,No,none
642,C++;SQL;Machine Learning,0,86.08,6,0,0,No,none
643,Python;SQL;Data Analysis,4,79.48,0,2,0,No,none
644,Java;Python,5,91.62,6,2,0,No,none
645,Data Analysis;SQL;Java,5,96.65,0,4,0,No,none
646,SQL,4,75.53,3,1,0,No,none
647,SQL;Java;C++,1,83.86,3,1,0,No,none
648,C++;Java;Machine Learning,0,80.03,4,2,0,No,none
649,Data Analysis,1,99.26,1,1,1,No,none
650,Python;SQL,2,93.24,5,1,0,No,none
651,Python,1,96.47,5,4,0,No,none
652,Python,1,70.17,7,3,0,No,none
653,SQL;Machine Learning,4,90.9,9,0,0,No,none
654,Machine Learning;C++,4,70.62,0,4,1,No,none
655,Python;Java,4,68.35,3,3,0,No,none
656,SQL;Python,5,97.77,1,0,1,No,none
657,SQL;Data Analysis;Python,2,60.77,7,2,0,No,none
658,C++;Data Analysis,4,98.62,3,3,0,No,none
659,C++;Data Analysis;SQL,0,65.97,7,0,1,No,none
660,C++,5,92.78,1,4,0,No,none
661,C++;SQL;Machine Learning,3,71.04,3,0,0,No,none
662,Data Analysis,0,74.03,8,1,0,No,none
663,Python;C++,0,68.67,4,0,1,No,none
664,Java;Machine Learning;SQL,4,83.42,5,2,0,No,none
665,Python;Data Analysis,3,73.92,9,4,1,No,none
666,Data Analysis;SQL,3,86.3,8,3,0,No,none
667,C++;Machine Learning,5,60.63,8,0,1,No,none
668,C++;Java;Data Analysis,3,62.57,6,4,0,No,none
669,C++;Python,2,63.99,1,2,0,No,none
670,SQL;Machine Learning;C++,4,76.76,6,3,1,No,none
671,Data Analysis;Python,3,92.59,8,0,1,No,none
672,Data Analysis,5,95.53,1,2,0,No,none
673,C++;SQL;Java,2,69.79,6,1,0,No,none
674,Java,1,82.97,6,4,1,No,none
675,Data Analysis;C++;Python,1,90.73,2,4,1,No,none
676,Python,2,71.55,5,0,0,No,none
677,Data Analysis,5,76.36,7,2,0,No,none
678,SQL;C++,2,80.96,9,3,1,No,none
679,Python;Machine Learning;Java,4,65.39,7,3,0,No,none
680,C++;SQL;Machine Learning,4,61.04,2,3,1,No,none
681,Python;Machine Learning,1,66.11,5,3,0,No,none
682,Machine Learning,3,85.07,1,0,0,No,none
683,C++;SQL,5,62.94,1,0,0,No,none
684,SQL;Java;Python,1,67.59,7,4,0,No,none
685,Data Analysis,3,73.51,9,2,0,No,none
686,C++,3,63.11,4,1,1,No,none
687,C++;Machine Learning;Python,4,67.67,4,0,1,No,none
688,SQL;C++,0,96.45,3,3,1,No,none
689,Machine Learning,0,60.77,9,1,0,No,none
690,Data Analysis;C++,2,86.14,3,4,1,No,none
691,Python,4,75.38,7,3,0,No,none
692,Python,3,86.91,2,2,0,No,none
693,Java;C++,5,83.55,2,1,0,No,none
694,Data Analysis,0,68.94,7,4,0,No,none
695,Data Analysis;SQL,3,93.89,2,0,1,No,none
696,Python;Machine Learning;SQL,0,79.68,1,2,0,Interview,none
697,Java;Data Analysis,0,92.9,4,3,0,No,none
698,Machine Learning;Java,0,76.24,2,1,1,No,none
699,Java,5,99.39,5,4,0,No,none
700,Java,4,90.82,6,1,1,No,none
701,Python;SQL,5,98.64,2,2,1,No,none
702,Machine Learning;SQL;C++,1,80.57,8,0,1,No,none
703,Java;Machine Learning;Python,3,78.95,9,0,1,Interview,none
704,SQL,4,90.22,0,2,0,No,none
705,Data Analysis;C++,4,95.21,6,3,1,No,none
706,C++;Data Analysis;Python,4,98.57,3,1,0,No,none
707,SQL,4,72.98,6,3,0,No,none
708,Python;C++;Machine Learning,5,91.95,8,4,1,Yes,150
709,Machine Learning;SQL;Java,4,68.43,8,3,0,No,none
710,Data Analysis;Machine Learning;Java,2,81.82,0,2,0,No,none
711,C++,3,67.19,9,0,1,No,none
712,Python;Data Analysis;Java,4,73.9,3,2,1,No,none
713,Java;Data Analysis,3,97.25,6,2,0,No,none
714,Data Analysis;Java,2,65.84,9,1,1,No,none
715,Machine Learning;SQL,2,85.3,5,2,0,No,none
716,SQL,3,83.72,8,4,1,No,none
717,Data Analysis,0,64.83,6,1,1,No,none
718,SQL;Java;Data Analysis,1,73.04,2,1,0,No,none
719,Machine Learning;Python;Java,0,82.52,6,3,0,Yes,125
720,Machine Learning;Java;Data Analysis,0,67.49,9,2,0,No,none
721,Machine Learning;Data Analysis;SQL,5,92.02,4,3,1,No,none
722,Python;Data Analysis;Machine Learning,0,98.89,1,3,1,Yes,150
723,Data Analysis,4,68.59,9,1,0,No,none
724,SQL;Java;C++,5,67.48,2,3,1,No,none
725,Data Analysis;Python;C++,5,78.2,5,3,0,No,none
726,Machine Learning;SQL;Data Analysis,2,89.91,5,1,1,No,none
727,Java;C++,0,71.26,6,1,0,No,none
728,C++;Python,2,60.8,5,0,0,No,none
729,Python;Java;C++,3,81.65,8,2,1,No,none
730,C++;Data Analysis,1,98.26,4,0,1,No,none
731,SQL,5,75.65,4,1,1,No,none
732,Java;SQL;Machine Learning,3,76.81,7,4,0,No,none
733,SQL;C++;Java,3,98.76,7,3,0,No,none
734,Machine Learning;Data Analysis,4,87.78,0,3,1,No,none
735,SQL,1,88.77,2,1,0,No,none
736,C++,3,82.51,5,3,0,No,none
737,SQL,3,98.98,5,0,1,No,none
738,Java;Data Analysis,1,87.55,0,3,1,No,none
739,Python,1,95.8,1,4,1,No,none
740,C++;Machine Learning,3,87.98,9,2,0,No,none
741,Java;Data Analysis,1,89.4,6,0,0,No,none
742,Machine Learning;SQL,3,71.62,0,2,0,No,none
743,Java,3,72.14,9,2,0,No,none
744,Machine Learning;C++,4,91.32,4,4,0,No,none
745,SQL;C++,0,71.87,0,4,1,No,none
746,Python,3,82.51,5,4,0,No,none
747,Machine Learning;C++,2,69.97,6,4,0,No,none
748,Java,5,92.68,7,0,1,No,none
749,SQL;Python;Machine Learning,0,64.42,2,4,0,No,none
750,C++;Machine Learning,0,93.18,2,0,0,No,none
751,Data Analysis;C++;SQL,0,84.11,0,3,1,No,none
752,Python;Data Analysis;C++,4,67.48,2,2,1,No,none
753,SQL,3,81.68,4,3,0,No,none
754,SQL;C++;Data Analysis,4,71.3,5,3,1,No,none
755,C++,3,72.94,2,1,0,No,none
756,Machine Learning,4,74.06,3,3,1,No,none
757,Java;SQL;Machine Learning,4,62.53,4,3,0,No,none
758,C++,5,99.44,4,1,1,No,none
759,C++;Machine Learning;SQL,2,61.26,8,3,1,No,none
760,Data Analysis;Machine Learning;Python,4,86.5,7,1,0,Yes,125
761,Python,5,74.85,0,0,0,No,none
762,SQL;Data Analysis,1,85.84,1,2,1,No,none
763,SQL;Java;Machine Learning,2,74.25,4,4,0,No,none
764,Machine Learning;C++;Python,4,86.95,2,3,0,Yes,125
765,Python,0,89.17,6,0,0,No,none
766,Data Analysis,1,87.62,5,2,1,No,none
767,C++;Machine Learning,1,64.56,1,0,0,No,none
768,Java;Machine Learning,5,86.28,7,1,1,No,none
769,Java;SQL;Machine Learning,1,71.2,4,0,0,No,none
770,C++,2,61.15,5,3,0,No,none
771,Data Analysis;SQL;Machine Learning,4,76.59,7,3,0,No,none
772,Machine Learning;Data Analysis;C++,4,77.34,5,4,1,No,none
773,Machine Learning;SQL;C++,0,78.69,9,4,1,No,none
774,SQL,5,88.19,2,3,0,No,none
775,Data Analysis;Python,0,72.35,6,0,1,No,none
776,Machine Learning;SQL,1,72.61,3,3,0,No,none
777,Data Analysis;Python;C++,0,62.42,5,0,1,No,none
778,Data Analysis;Machine Learning,2,87.47,5,3,0,No,none
779,Java;Python;C++,4,82.71,4,2,1,No,none
780,Machine Learning,1,73.98,0,0,0,No,none
781,Data Analysis;Machine Learning;C++,0,88.21,7,1,1,No,none
782,Data Analysis,5,81.49,9,1,0,No,none
783,Python,2,78.77,1,4,0,No,none
784,Data Analysis;Python;Java,2,80.45,3,2,0,No,none
785,C++,0,85.45,2,1,1,No,none
786,C++;Java,4,86.4,5,3,0,No,none
787,Data Analysis;Java,0,71.56,0,1,1,No,none
788,Machine Learning;Data Analysis,1,65.63,8,3,0,No,none
789,Data Analysis;Python,0,66.27,4,2,1,No,none
790,Java;Machine Learning;Data Analysis,2,85.58,4,4,0,No,none
791,SQL;C++;Machine Learning,0,94.91,3,1,1,No,none
792,Java;C++,4,76.38,3,4,0,No,none
793,SQL;Machine Learning;Data Analysis,5,66.78,0,2,0,No,none
794,Data Analysis;SQL;C++,3,90.26,8,0,0,No,none
795,Java,0,93.3,8,2,1,No,none
796,Machine Learning;SQL,4,95.22,3,2,0,No,none
797,SQL,4,84.27,9,2,1,No,none
798,Data Analysis;Java,5,94.43,9,0,1,No,none
799,Data Analysis;C++;SQL,2,60.62,3,0,1,No,none
800,SQL;Machine Learning,4,64.29,6,2,0,No,none
801,SQL;Data Analysis;Python,4,63.7,3,0,1,No,none
802,Data Analysis;Machine Learning;C++,4,88.5,0,3,1,No,none
803,SQL;Java,4,62.78,8,2,1,No,none
804,Python;SQL,1,79.85,1,1,1,No,none
805,Python;SQL;C++,1,78.91,4,3,0,No,none
806,SQL;C++;Java,2,72.43,3,2,0,No,none
807,Machine Learning,0,94.82,7,1,1,No,none
808,Machine Learning;SQL,4,66.82,5,1,1,No,none
809,Python,5,74.1,6,4,1,No,none
810,Data Analysis;Machine Learning;Java,0,90.97,1,4,1,No,none
811,Python,5,61.22,3,1,1,No,none
812,Machine Learning;Java;Data Analysis,0,86.92,3,2,1,No,none
813,Python,2,92.66,1,2,1,No,none
814,SQL;C++,4,97.29,9,2,1,No,none
815,Data Analysis,4,95.05,3,2,0,No,none
816,Python,3,72.78,8,1,1,No,none
817,Java;C++;Machine Learning,5,83.45,7,0,1,No,none
818,Data Analysis;Java,0,63.09,0,0,1,No,none
819,SQL;Data Analysis,0,70.31,7,2,0,No,none
820,Python;Data Analysis;Java,1,63.77,8,4,0,No,none
821,Data Analysis;Python;Java,3,72.61,7,1,1,No,none
822,Java;Python,1,95.01,9,0,1,No,none
823,C++;Java,1,73.89,0,1,0,No,none
824,SQL;Python;Machine Learning,1,82.48,7,4,1,Yes,125
825,Machine Learning;Data Analysis,5,77.34,4,1,1,No,none
826,SQL,5,78.36,8,4,0,No,none
827,C++;Machine Learning,2,98.78,8,4,0,No,none
828,C++;Java;Data Analysis,2,71.85,5,3,0,No,none
829,Java;Python,1,85.09,2,4,1,No,none
830,Java;C++,3,76.8,6,3,1,No,none
831,SQL;Java;Python,0,62.45,2,4,0,No,none
832,SQL;Data Analysis;Java,5,79.57,6,4,1,No,none
833,Machine Learning,3,92.53,7,1,1,No,none
834,C++;Data Analysis;SQL,4,63.95,4,3,1,No,none
835,C++,5,62.78,4,0,0,No,none
836,Python;Java;Machine Learning,5,66.15,3,0,0,No,none
837,SQL;Java,2,90.58,2,1,0,No,none
838,SQL,0,88.96,7,0,0,No,none
839,Java;C++,0,82.6,5,0,1,No,none
840,SQL;Data Analysis,4,78.73,5,4,0,No,none
841,Data Analysis;Machine Learning;Python,4,95.53,1,2,0,Yes,150
842,Data Analysis;SQL,5,90.67,3,2,1,No,none
843,Java;Python;Machine Learning,1,92.48,4,0,1,Yes,150
844,SQL;Java,2,92.53,9,1,0,No,none
845,Data Analysis;Machine Learning,2,85.71,4,1,0,No,none
846,SQL;Python;Data Analysis,5,78.32,2,3,0,No,none
847,Machine Learning;Java,3,94.59,9,1,1,No,none
848,Java,1,97.04,4,1,0,No,none
849,Java;C++,5,60.95,4,4,0,No,none
850,Machine Learning;SQL;C++,1,62.06,1,4,0,No,none
851,Machine Learning;C++;Java,1,98.35,4,0,1,No,none
852,Data Analysis,1,71.09,2,1,0,No,none
853,Python;Machine Learning;C++,5,94.93,2,2,1,Yes,150
854,Data Analysis;SQL;Python,2,75.55,4,1,1,No,none
855,Python;Data Analysis;Java,2,64.76,8,1,1,No,none
856,Machine Learning;Java;Data Analysis,1,63.22,1,0,1,No,none
857,Machine Learning;C++,3,66.26,8,2,0,No,none
858,Data Analysis,0,70,2,0,1,No,none
859,Data Analysis,5,79.54,6,1,0,No,none
860,C++;Python;Data Analysis,0,88.06,0,2,1,No,none
861,C++,3,99.46,0,1,1,No,none
862,Machine Learning,5,77.66,7,0,1,No,none
863,C++;Machine Learning,1,80.73,8,0,1,No,none
864,Machine Learning,2,80.87,2,4,0,No,none
865,Data Analysis;SQL,0,81.58,5,2,0,No,none
866,Python;C++;SQL,4,80.71,2,4,1,No,none
867,Data Analysis,4,60.35,5,2,1,No,none
868,Machine Learning,3,60.07,6,3,0,No,none
869,Python,1,63.91,4,2,1,No,none
870,SQL;Python,0,64.06,2,1,0,No,none
871,Python;Data Analysis;C++,1,88.2,7,2,0,No,none
872,SQL,0,68.2,4,4,1,No,none
873,Java;Data Analysis,3,95.79,0,0,1,No,none
874,Data Analysis;C++;SQL,3,97.14,8,0,0,No,none
875,C++;Data Analysis,4,99.04,2,2,1,No,none
876,Python;Machine Learning,1,97.56,1,3,0,Yes,150
877,Data Analysis,5,70.88,2,0,1,No,none
878,Python;Java,4,80.39,6,0,1,No,none
879,C++;Machine Learning;Java,1,67.02,9,0,0,No,none
880,Java;Python;Machine Learning,4,92.25,7,3,0,Yes,150
881,C++;Machine Learning,5,95.54,1,4,0,No,none
882,Machine Learning;C++,2,94.05,6,2,1,No,none
883,Java,2,77.33,4,3,0,No,none
884,SQL;Java,2,90.35,8,2,1,No,none
885,Java;Python,2,63.9,6,1,0,No,none
886,Data Analysis,0,61.61,0,2,1,No,none
887,Machine Learning;Python,2,90.13,0,0,0,Yes,125
888,Java,5,77.01,5,3,0,No,none
889,Python,3,99.82,8,3,0,No,none
890,Python;C++;Data Analysis,3,63.89,0,4,1,No,none
891,Data Analysis,0,94.23,2,1,0,No,none
892,C++,2,79.2,4,4,1,No,none
893,Java;Machine Learning,2,93.09,3,4,1,No,none
894,Python,2,92.69,0,1,0,No,none
895,Machine Learning,4,96.64,9,0,0,No,none
896,Java;Machine Learning,1,71.91,3,3,0,No,none
897,Machine Learning;Data Analysis,4,97.99,3,2,1,No,none
898,SQL;Java;Data Analysis,1,66.07,9,1,1,No,none
899,Data Analysis,2,63.28,3,4,0,No,none
900,Java;C++;SQL,2,77.26,2,2,1,No,none
901,Python;Machine Learning,4,93.13,6,1,0,Yes,150
902,Data Analysis;Java;C++,4,78.94,0,1,1,No,none
903,C++;Python;SQL,1,93.17,1,0,0,No,none
904,Data Analysis;C++;SQL,3,89.19,0,0,1,No,none
905,C++;Data Analysis;Java,1,68.38,3,3,1,No,none
906,C++;Java,4,97.96,4,3,0,No,none
907,C++;Java;Machine Learning,5,62.43,9,2,1,No,none
908,Data Analysis;Java,4,95.93,4,3,1,No,none
909,Python;Machine Learning,5,72.18,1,1,0,No,none
910,C++;Machine Learning,0,80.01,2,1,1,No,none
911,Java;C++;Data Analysis,4,76.89,3,1,1,No,none
912,Java;SQL,0,66.87,9,1,1,No,none
913,Python;C++;SQL,3,74.33,5,0,0,No,none
914,Machine Learning,1,67.72,5,1,1,No,none
915,Java;Python;SQL,5,68.16,1,1,0,No,none
916,Data Analysis;Machine Learning,1,67.48,1,1,1,No,none
917,Python;Data Analysis;Java,0,79.56,8,4,0,No,none
918,Data Analysis;Machine Learning;Java,5,91.92,1,2,0,No,none
919,Java;SQL,1,82.76,1,2,1,No,none
920,Python;Java,4,95.73,2,1,1,No,none
921,Data Analysis,2,85.46,8,1,1,No,none
922,Data Analysis,0,87.57,5,2,1,No,none
923,Java;Machine Learning,1,86.7,5,3,0,No,none
924,Java;C++;Data Analysis,0,77.98,9,4,0,No,none
925,SQL;Data Analysis;C++,0,87.57,4,4,0,No,none
926,Machine Learning;SQL,5,62.79,6,3,0,No,none
927,SQL;Data Analysis,5,94.39,3,1,0,No,none
928,C++;Data Analysis;Python,2,91.11,9,2,1,No,none
929,C++;SQL;Java,4,69.81,9,4,1,No,none
930,SQL;C++,0,90.72,2,3,1,No,none
931,Machine Learning,1,60.51,6,3,1,No,none
932,Data Analysis,3,68.69,9,0,0,No,none
933,Python,0,62.61,0,3,1,No,none
934,Machine Learning;Data Analysis,0,91.21,5,0,1,No,none
935,Data Analysis;C++;SQL,2,90.23,1,0,1,No,none
936,Java,4,92.55,1,4,0,No,none
937,Java;C++,3,60.18,7,1,0,No,none
938,Java;C++;SQL,5,80.05,2,1,1,No,none
939,C++;Data Analysis,5,88.19,8,3,0,No,none
940,Java;SQL,1,66.22,3,2,1,No,none
941,Java,3,85.99,5,2,0,No,none
942,Machine Learning;C++;Java,5,63.36,0,0,1,No,none
943,Data Analysis;Python;Machine Learning,1,67.25,9,3,0,No,none
944,Data Analysis,4,79.03,9,3,0,No,none
945,Python,1,86.14,2,1,1,No,none
946,Java;Data Analysis,5,65.83,3,2,0,No,none
947,Data Analysis,2,67.41,4,4,0,No,none
948,Python,2,68.18,0,3,1,No,none
949,Machine Learning,2,69.55,3,3,1,No,none
950,SQL;Python,5,69.06,4,1,0,No,none
951,Data Analysis;Machine Learning;C++,2,75.81,3,4,1,Interview,none
952,C++;Python;Machine Learning,3,86.15,9,4,0,Yes,125
953,Machine Learning;C++;Python,4,77.52,9,4,0,Interview,none
954,Machine Learning,1,91.04,6,4,1,No,none
955,SQL;Machine Learning;Data Analysis,1,88.77,7,2,1,No,none
956,Machine Learning,5,65.06,7,0,0,No,none
957,Data Analysis;C++;Java,2,61.95,2,4,1,No,none
958,Python,2,95.12,4,0,1,No,none
959,Java;Data Analysis;Machine Learning,0,63.19,9,0,1,No,none
960,Machine Learning;SQL;Data Analysis,4,65.93,7,1,1,No,none
961,C++;Python,3,60.89,6,4,1,No,none
962,C++;Data Analysis,1,85.13,8,2,1,No,none
963,Java;Data Analysis;SQL,0,83.29,9,1,0,No,none
964,Python;Data Analysis;Machine Learning,0,99.48,6,1,0,Yes,150
965,C++;Data Analysis,5,95.48,1,0,1,No,none
966,C++;Python;Machine Learning,1,76.43,3,3,1,Interview,none
967,Java;Python;C++,5,74.86,7,2,0,No,none
968,Data Analysis;SQL,3,71.87,8,4,0,No,none
969,Python;Machine Learning;Data Analysis,0,66.1,6,4,1,No,none
970,Java,0,65.52,4,2,1,No,none
971,Machine Learning;C++;SQL,4,65.29,0,4,1,No,none
972,Python,3,64.56,8,3,1,No,none
973,SQL;Machine Learning;Python,0,69.62,5,3,1,No,none
974,SQL,3,72.27,1,4,0,No,none
975,Java,1,98.46,9,1,0,No,none
976,Java;C++;Python,2,83.14,9,4,0,No,none
977,Java;Machine Learning,0,99.5,1,4,1,No,none
978,Machine Learning,4,74.9,9,2,1,No,none
979,Data Analysis;Machine Learning,1,78.31,0,3,0,No,none
980,C++;Java,3,72.98,3,1,0,No,none
981,Data Analysis;Python;SQL,5,67.32,9,2,0,No,none
982,Python,1,65.73,1,2,1,No,none
983,Java;Python,0,97.8,9,1,0,No,none
984,Machine Learning;Data Analysis,3,99.47,8,1,0,No,none
985,C++;SQL;Python,2,61.8,1,2,0,No,none
986,SQL;C++;Machine Learning,1,66.01,8,4,1,No,none
987,SQL,0,76.94,0,1,0,No,none
988,C++;Data Analysis;Java,4,67.45,6,0,1,No,none
989,Machine Learning;C++;Python,5,74.56,5,1,0,No,none
990,SQL;Java;Python,3,65.16,5,2,0,No,none
991,SQL,1,78.26,1,0,0,No,none
992,C++,1,70.87,0,2,0,No,none
993,Data Analysis;Java;C++,2,74.08,9,3,1,No,none
994,SQL;Python,2,63.77,7,3,0,No,none
995,Python,4,77.13,7,4,1,No,none
996,C++;SQL,5,99.33,1,1,1,No,none
997,Python;Java,4,73.15,3,2,0,No,none
998,Java,0,95.06,3,0,1,No,none
999,C++;Machine Learning,0,93.73,1,1,1,No,none
1000,Machine Learning;C++;Python,4,98.08,8,4,1,Yes,150
